Overall Word Counts in Der Tod des Vergil by Hermann Broch,,
Total Number of Instances,Word,As Percentage of All Words in Novel
19,einzige,0.01%
19,einzelnen,0.01%
19,dorthin,0.01%
19,bewegung,0.01%
19,bestehen,0.01%
19,befand,0.01%
19,atmen,0.01%
19,abschied,0.01%
18,überaus,0.01%
18,welch,0.01%
18,wegen,0.01%
18,wahr,0.01%
18,vorher,0.01%
18,verhaftet,0.01%
18,vereinigt,0.01%
18,ununterscheidbar,0.01%
18,tragen,0.01%
18,tiefer,0.01%
18,tiefen,0.01%
18,testament,0.01%
18,staates,0.01%
18,sollen,0.01%
18,solchem,0.01%
18,nie,0.01%
18,natürlich,0.01%
18,meer,0.01%
18,liegt,0.01%
18,liegen,0.01%
18,lied,0.01%
18,lichtes,0.01%
18,lauschte,0.01%
18,innerste,0.01%
18,hingebreitet,0.01%
18,göttliche,0.01%
18,goldenen,0.01%
18,gleichgültig,0.01%
18,gleichgewicht,0.01%
18,glauben,0.01%
18,gesamtheit,0.01%
18,gerufen,0.01%
18,genommen,0.01%
18,gegeben,0.01%
18,geburt,0.01%
18,fluten,0.01%
18,feuer,0.01%
18,fest,0.01%
18,euch,0.01%
18,enthüllt,0.01%
18,ebendarum,0.01%
18,dinge,0.01%
18,dienen,0.01%
18,dauer,0.01%
18,ahnen,0.01%
17,wollten,0.01%
17,weniger,0.01%
17,weißt,0.01%
17,voller,0.01%
17,unabänderlich,0.01%
17,trauer,0.01%
17,stummen,0.01%
17,stieg,0.01%
17,sternen,0.01%
17,stein,0.01%
17,solcherart,0.01%
17,scham,0.01%
17,ruhm,0.01%
17,richtung,0.01%
17,richtiger,0.01%
17,neuer,0.01%
17,male,0.01%
17,lippen,0.01%
17,letztes,0.01%
17,leib,0.01%
17,lediglich,0.01%
17,kleiner,0.01%
17,keinem,0.01%
17,imstande,0.01%
17,herr,0.01%
17,größe,0.01%
17,gewölbe,0.01%
17,gestirn,0.01%
17,geschieht,0.01%
17,geschehens,0.01%
17,geschaffen,0.01%
17,gebrochen,0.01%
17,galt,0.01%
17,freundschaft,0.01%
17,freund,0.01%
17,ewige,0.01%
17,erwarten,0.01%
17,erkennt,0.01%
17,erkannte,0.01%
17,empfangen,0.01%
17,eingegangen,0.01%
17,echte,0.01%
17,deutlicher,0.01%
17,desgleichen,0.01%
17,decke,0.01%
